symbol,quote_date,expiration_date,days_to_expiration,contract_count,call_count,put_count,distinct_strikes,minimum_strike,maximum_strike,median_strike_gap,maximum_strike_gap,strike_gap_completeness_score,call_put_balance_score,completeness_score
ADI,2026-07-20,2026-08-21,32,4,1,3,4,350.0,400.0,10.0,30.0,0.833333,0.5,0.748333
ADI,2026-07-20,2026-08-28,39,1,0,1,1,280.0,280.0,,,1.0,0.0,0.36
ADM,2026-07-20,2026-08-21,32,3,2,1,3,80.0,90.0,5.0,7.5,1.0,0.666667,0.713333
ADM,2026-07-20,2026-09-18,60,1,0,1,1,70.0,70.0,,,1.0,0.0,0.36
ADP,2026-07-20,2026-08-14,25,1,1,0,1,270.0,270.0,,,1.0,0.0,0.36
ADP,2026-07-20,2026-08-21,32,2,1,1,2,170.0,200.0,30.0,30.0,1.0,1.0,0.67
ADP,2026-07-20,2026-08-28,39,1,0,1,1,200.0,200.0,,,1.0,0.0,0.36
ADSK,2026-07-20,2026-07-31,11,3,3,0,3,227.5,330.0,51.25,92.5,1.0,0.0,0.58
ADSK,2026-07-20,2026-08-21,32,1,0,1,1,230.0,230.0,,,1.0,0.0,0.36
AEP,2026-07-20,2026-08-21,32,5,4,1,5,110.0,145.0,5.0,20.0,0.625,0.4,0.78625
AES,2026-07-20,2026-07-31,11,5,1,4,4,15.0,16.5,0.5,0.5,1.0,0.4,0.77
AES,2026-07-20,2026-08-07,18,1,1,0,1,15.0,15.0,,,1.0,0.0,0.36
AES,2026-07-20,2026-08-14,25,3,1,2,3,15.0,17.0,1.0,1.0,1.0,0.666667,0.713333
AES,2026-07-20,2026-08-21,32,5,1,4,5,13.0,20.0,1.5,3.0,1.0,0.4,0.88
AES,2026-07-20,2026-09-18,60,2,1,1,1,15.0,15.0,,,1.0,1.0,0.56
AFL,2026-07-20,2026-08-14,25,3,3,0,3,125.0,130.0,2.5,4.0,1.0,0.0,0.58
AFL,2026-07-20,2026-08-21,32,2,2,0,2,100.0,130.0,30.0,30.0,1.0,0.0,0.47
AGG,2026-07-20,2026-09-18,60,1,0,1,1,91.0,91.0,,,1.0,0.0,0.36
AIG,2026-07-20,2026-07-31,11,1,0,1,1,81.0,81.0,,,1.0,0.0,0.36
AIG,2026-07-20,2026-08-21,32,2,1,1,2,65.0,85.0,20.0,20.0,1.0,1.0,0.67
AIZ,2026-07-20,2026-08-21,32,1,1,0,1,270.0,270.0,,,1.0,0.0,0.36
AJG,2026-07-20,2026-08-21,32,2,0,2,2,155.0,200.0,45.0,45.0,1.0,0.0,0.47
AKAM,2026-07-20,2026-07-31,11,2,0,2,2,113.0,125.0,12.0,12.0,1.0,0.0,0.47
AKAM,2026-07-20,2026-08-07,18,2,0,2,2,85.0,135.0,50.0,50.0,1.0,0.0,0.47
AKAM,2026-07-20,2026-08-21,32,1,0,1,1,100.0,100.0,,,1.0,0.0,0.36
AKAM,2026-07-20,2026-09-18,60,1,1,0,1,200.0,200.0,,,1.0,0.0,0.36
ALAB,2026-07-20,2026-07-31,11,2,1,1,2,310.0,325.0,15.0,15.0,1.0,1.0,0.67
ALAB,2026-07-20,2026-08-07,18,1,0,1,1,235.0,235.0,,,1.0,0.0,0.36
ALAB,2026-07-20,2026-08-21,32,3,1,2,3,195.0,450.0,127.5,200.0,1.0,0.666667,0.713333
ALB,2026-07-20,2026-08-14,25,1,0,1,1,119.0,119.0,,,1.0,0.0,0.36
ALB,2026-07-20,2026-08-21,32,1,0,1,1,105.0,105.0,,,1.0,0.0,0.36
ALGN,2026-07-20,2026-07-31,11,1,1,0,1,220.0,220.0,,,1.0,0.0,0.36
ALGN,2026-07-20,2026-08-21,32,1,1,0,1,220.0,220.0,,,1.0,0.0,0.36
ALL,2026-07-20,2026-08-21,32,1,1,0,1,270.0,270.0,,,1.0,0.0,0.36
ALLE,2026-07-20,2026-08-21,32,1,1,0,1,150.0,150.0,,,1.0,0.0,0.36
ALNY,2026-07-20,2026-08-21,32,2,1,1,2,200.0,260.0,60.0,60.0,1.0,1.0,0.67
ALNY,2026-07-20,2026-09-18,60,4,2,2,3,250.0,300.0,25.0,40.0,1.0,1.0,0.78
AMAT,2026-07-20,2026-07-31,11,3,3,0,3,370.0,850.0,240.0,330.0,1.0,0.0,0.58
AMAT,2026-07-20,2026-08-07,18,3,3,0,3,525.0,680.0,77.5,145.0,1.0,0.0,0.58
AMAT,2026-07-20,2026-08-14,25,1,1,0,1,580.0,580.0,,,1.0,0.0,0.36
AMAT,2026-07-20,2026-08-21,32,13,7,6,13,165.0,720.0,30.0,140.0,0.535714,0.923077,0.868544
AMAT,2026-07-20,2026-09-18,60,8,2,6,8,260.0,700.0,20.0,160.0,0.3125,0.5,0.728125
AMD,2026-07-20,2026-07-27,7,6,3,3,6,425.0,570.0,25.0,55.0,1.0,1.0,1.0
AMD,2026-07-20,2026-07-31,11,52,33,19,47,320.0,1120.0,10.0,260.0,0.096154,0.730769,0.720192
AMD,2026-07-20,2026-08-07,18,23,18,5,23,325.0,750.0,12.5,50.0,0.625,0.434783,0.793207
AMD,2026-07-20,2026-08-14,25,6,4,2,6,500.0,600.0,10.0,45.0,0.555556,0.666667,0.822222
AMD,2026-07-20,2026-08-21,32,41,20,21,38,120.0,800.0,10.0,110.0,0.227273,0.97561,0.80194
AMD,2026-07-20,2026-09-18,60,18,9,9,16,65.0,790.0,30.0,195.0,0.384615,1.0,0.846154
AME,2026-07-20,2026-08-21,32,3,2,1,3,220.0,260.0,20.0,20.0,1.0,0.666667,0.713333
AMGN,2026-07-20,2026-07-31,11,2,2,0,2,370.0,382.5,12.5,12.5,1.0,0.0,0.47
AMGN,2026-07-20,2026-08-07,18,1,1,0,1,375.0,375.0,,,1.0,0.0,0.36
AMGN,2026-07-20,2026-08-14,25,1,0,1,1,200.0,200.0,,,1.0,0.0,0.36
AMGN,2026-07-20,2026-08-21,32,3,2,1,3,260.0,375.0,57.5,110.0,1.0,0.666667,0.713333
AMGN,2026-07-20,2026-08-28,39,2,1,1,2,260.0,455.0,195.0,195.0,1.0,1.0,0.67
AMGN,2026-07-20,2026-09-18,60,3,2,1,3,280.0,500.0,110.0,150.0,1.0,0.666667,0.713333
AMT,2026-07-20,2026-08-21,32,3,0,3,3,160.0,170.0,5.0,5.0,1.0,0.0,0.58
AMZN,2026-07-20,2026-07-27,7,17,11,6,15,215.0,275.0,2.5,20.0,0.3125,0.705882,0.769301
AMZN,2026-07-20,2026-07-31,11,37,20,17,34,180.0,315.0,2.5,15.0,0.416667,0.918919,0.83795
AMZN,2026-07-20,2026-08-07,18,15,10,5,15,205.0,300.0,5.0,15.0,0.833333,0.666667,0.891667
AMZN,2026-07-20,2026-08-14,25,11,7,4,10,205.0,285.0,5.0,20.0,0.625,0.727273,0.851705
AMZN,2026-07-20,2026-08-21,32,39,22,17,31,120.0,350.0,5.0,40.0,0.3125,0.871795,0.802484
AMZN,2026-07-20,2026-08-28,39,3,2,1,3,210.0,300.0,45.0,50.0,1.0,0.666667,0.713333
AMZN,2026-07-20,2026-09-18,60,30,19,11,27,180.0,380.0,5.0,20.0,0.625,0.733333,0.852917
ANET,2026-07-20,2026-07-31,11,12,6,6,11,140.0,240.0,5.0,40.0,0.3125,1.0,0.828125
ANET,2026-07-20,2026-08-07,18,3,3,0,3,175.0,220.0,22.5,25.0,1.0,0.0,0.58
ANET,2026-07-20,2026-08-21,32,7,7,0,7,85.0,250.0,17.5,90.0,0.486111,0.0,0.671528
ANET,2026-07-20,2026-09-18,60,3,1,2,3,115.0,270.0,77.5,140.0,1.0,0.666667,0.713333
AOS,2026-07-20,2026-08-21,32,3,2,1,3,55.0,65.0,5.0,5.0,1.0,0.666667,0.713333
APA,2026-07-20,2026-07-31,11,2,2,0,2,37.0,38.0,1.0,1.0,1.0,0.0,0.47
APA,2026-07-20,2026-08-21,32,5,3,2,3,35.0,40.0,2.5,2.5,1.0,0.8,0.74
APA,2026-07-20,2026-09-18,60,6,3,3,6,12.5,42.5,5.0,12.5,1.0,1.0,1.0
APD,2026-07-20,2026-08-21,32,1,1,0,1,310.0,310.0,,,1.0,0.0,0.36
APH,2026-07-20,2026-08-21,32,6,5,1,6,120.0,190.0,10.0,30.0,0.833333,0.333333,0.825
APH,2026-07-20,2026-09-18,60,2,1,1,2,120.0,210.0,90.0,90.0,1.0,1.0,0.67
APO,2026-07-20,2026-07-31,11,1,0,1,1,120.0,120.0,,,1.0,0.0,0.36
APO,2026-07-20,2026-08-07,18,1,1,0,1,130.0,130.0,,,1.0,0.0,0.36
APO,2026-07-20,2026-08-14,25,1,0,1,1,119.0,119.0,,,1.0,0.0,0.36
APO,2026-07-20,2026-08-21,32,1,1,0,1,155.0,155.0,,,1.0,0.0,0.36
APO,2026-07-20,2026-09-18,60,3,1,2,3,110.0,160.0,25.0,30.0,1.0,0.666667,0.713333
APP,2026-07-20,2026-07-31,11,1,1,0,1,860.0,860.0,,,1.0,0.0,0.36
APP,2026-07-20,2026-09-18,60,4,1,3,4,250.0,600.0,90.0,170.0,1.0,0.5,0.79
APTV,2026-07-20,2026-08-21,32,2,1,1,2,50.0,57.5,7.5,7.5,1.0,1.0,0.67
ARE,2026-07-20,2026-08-21,32,3,2,1,3,50.0,55.0,2.5,2.5,1.0,0.666667,0.713333
ARES,2026-07-20,2026-07-31,11,1,0,1,1,105.0,105.0,,,1.0,0.0,0.36
ARES,2026-07-20,2026-08-21,32,1,1,0,1,150.0,150.0,,,1.0,0.0,0.36
ARES,2026-07-20,2026-09-18,60,2,2,0,2,170.0,200.0,30.0,30.0,1.0,0.0,0.47
ARKK,2026-07-20,2026-07-31,11,7,4,3,7,69.0,82.0,2.5,3.0,1.0,0.857143,0.971429
ARKK,2026-07-20,2026-08-07,18,2,1,1,2,70.0,81.0,11.0,11.0,1.0,1.0,0.67
ARKK,2026-07-20,2026-08-14,25,2,1,1,2,76.0,81.0,5.0,5.0,1.0,1.0,0.67
ARKK,2026-07-20,2026-08-21,32,4,2,2,3,77.0,85.0,4.0,5.0,1.0,1.0,0.78
ARKK,2026-07-20,2026-09-18,60,16,4,12,15,60.0,94.0,1.5,14.0,0.267857,0.5,0.716964
ARM,2026-07-20,2026-07-31,11,5,3,2,5,155.0,350.0,41.25,92.5,1.0,0.8,0.96
ARM,2026-07-20,2026-08-21,32,6,4,2,5,90.0,350.0,35.0,180.0,0.486111,0.666667,0.804861
ARM,2026-07-20,2026-09-18,60,4,2,2,4,60.0,530.0,180.0,230.0,1.0,1.0,0.89
ASML,2026-07-20,2026-07-31,11,1,0,1,1,1750.0,1750.0,,,1.0,0.0,0.36
ASML,2026-07-20,2026-08-14,25,1,1,0,1,1600.0,1600.0,,,1.0,0.0,0.36
ASML,2026-07-20,2026-08-21,32,3,2,1,3,810.0,2100.0,645.0,810.0,1.0,0.666667,0.713333
ASML,2026-07-20,2026-09-18,60,5,0,5,5,460.0,1020.0,110.0,300.0,0.916667,0.0,0.779167
ATO,2026-07-20,2026-08-21,32,1,1,0,1,175.0,175.0,,,1.0,0.0,0.36
AVB,2026-07-20,2026-08-21,32,1,1,0,1,200.0,200.0,,,1.0,0.0,0.36
AVGO,2026-07-20,2026-07-27,7,3,2,1,3,367.5,400.0,16.25,27.5,1.0,0.666667,0.713333
AVGO,2026-07-20,2026-07-29,9,1,0,1,1,375.0,375.0,,,1.0,0.0,0.36
AVGO,2026-07-20,2026-07-31,11,26,17,9,24,295.0,500.0,5.0,40.0,0.3125,0.692308,0.766587
AVGO,2026-07-20,2026-08-07,18,4,2,2,4,315.0,420.0,30.0,65.0,1.0,1.0,0.89
AVGO,2026-07-20,2026-08-14,25,2,1,1,2,400.0,550.0,150.0,150.0,1.0,1.0,0.67
AVGO,2026-07-20,2026-08-21,32,26,14,12,23,230.0,550.0,10.0,50.0,0.5,0.923077,0.859615
AVGO,2026-07-20,2026-08-28,39,2,2,0,2,365.0,375.0,10.0,10.0,1.0,0.0,0.47
AVGO,2026-07-20,2026-09-18,60,26,14,12,25,75.0,600.0,10.0,130.0,0.192308,0.923077,0.782692
AWK,2026-07-20,2026-08-21,32,3,3,0,3,125.0,140.0,7.5,10.0,1.0,0.0,0.58
AWK,2026-07-20,2026-09-18,60,2,2,0,2,130.0,135.0,5.0,5.0,1.0,0.0,0.47
AXON,2026-07-20,2026-08-21,32,1,1,0,1,850.0,850.0,,,1.0,0.0,0.36
AXP,2026-07-20,2026-07-31,11,7,0,7,7,200.0,327.5,17.5,52.5,0.833333,0.0,0.758333
AXP,2026-07-20,2026-08-07,18,6,0,6,6,195.0,255.0,5.0,35.0,0.357143,0.0,0.639286
AXP,2026-07-20,2026-08-14,25,3,0,3,3,200.0,260.0,30.0,45.0,1.0,0.0,0.58
AXP,2026-07-20,2026-08-21,32,3,2,1,3,340.0,370.0,15.0,20.0,1.0,0.666667,0.713333
AXP,2026-07-20,2026-08-28,39,1,0,1,1,280.0,280.0,,,1.0,0.0,0.36
AZO,2026-07-20,2026-08-21,32,1,1,0,1,3600.0,3600.0,,,1.0,0.0,0.36
BA,2026-07-20,2026-07-31,11,17,10,7,15,180.0,255.0,5.0,10.0,1.0,0.823529,0.964706
BA,2026-07-20,2026-08-07,18,3,1,2,3,200.0,240.0,20.0,30.0,1.0,0.666667,0.713333
BA,2026-07-20,2026-08-21,32,25,16,9,20,185.0,300.0,5.0,25.0,0.5,0.72,0.819
BA,2026-07-20,2026-09-18,60,14,8,6,13,165.0,290.0,7.5,30.0,0.625,0.857143,0.877679
BAC,2026-07-20,2026-07-31,11,15,8,7,12,52.0,66.0,1.0,4.0,0.625,0.933333,0.892917
BAC,2026-07-20,2026-08-07,18,8,4,4,8,55.0,64.0,1.0,3.0,0.833333,1.0,0.958333
BAC,2026-07-20,2026-08-14,25,4,2,2,4,55.0,69.0,3.0,8.0,0.9375,1.0,0.874375
BAC,2026-07-20,2026-08-21,32,13,7,6,11,37.0,75.0,2.5,13.0,0.480769,0.923077,0.854808
BAC,2026-07-20,2026-09-18,60,12,5,7,9,47.0,70.0,2.5,5.0,1.0,0.833333,0.966667
BALL,2026-07-20,2026-08-21,32,1,0,1,1,47.5,47.5,,,1.0,0.0,0.36
BALL,2026-07-20,2026-09-18,60,2,1,1,2,67.5,70.0,2.5,2.5,1.0,1.0,0.67
BBY,2026-07-20,2026-07-31,11,1,0,1,1,75.0,75.0,,,1.0,0.0,0.36
BBY,2026-07-20,2026-08-21,32,5,3,2,5,72.5,110.0,6.25,22.5,0.694444,0.8,0.883611
BBY,2026-07-20,2026-09-18,60,1,0,1,1,80.0,80.0,,,1.0,0.0,0.36
BDX,2026-07-20,2026-08-21,32,2,2,0,2,170.0,180.0,10.0,10.0,1.0,0.0,0.47
BDX,2026-07-20,2026-09-18,60,1,1,0,1,165.0,165.0,,,1.0,0.0,0.36
BEN,2026-07-20,2026-08-21,32,3,3,0,3,33.0,35.0,1.0,1.0,1.0,0.0,0.58
BIIB,2026-07-20,2026-08-07,18,1,0,1,1,195.0,195.0,,,1.0,0.0,0.36
BIIB,2026-07-20,2026-08-21,32,1,1,0,1,175.0,175.0,,,1.0,0.0,0.36
BIIB,2026-07-20,2026-09-18,60,1,0,1,1,180.0,180.0,,,1.0,0.0,0.36
BITO,2026-07-20,2026-07-31,11,1,1,0,1,9.0,9.0,,,1.0,0.0,0.36
BITO,2026-07-20,2026-08-07,18,1,0,1,1,10.0,10.0,,,1.0,0.0,0.36
BITO,2026-07-20,2026-08-21,32,3,3,0,3,8.0,10.0,1.0,1.0,1.0,0.0,0.58
BITO,2026-07-20,2026-08-28,39,1,1,0,1,9.5,9.5,,,1.0,0.0,0.36
BITO,2026-07-20,2026-09-18,60,4,4,0,4,10.0,21.0,1.0,9.0,0.277778,0.0,0.509444
BKNG,2026-07-20,2026-07-31,11,3,2,1,3,165.0,192.5,13.75,25.0,1.0,0.666667,0.713333
BKNG,2026-07-20,2026-08-07,18,3,1,2,3,135.0,195.0,30.0,45.0,1.0,0.666667,0.713333
BKNG,2026-07-20,2026-08-14,25,1,0,1,1,135.0,135.0,,,1.0,0.0,0.36
BKNG,2026-07-20,2026-08-21,32,5,3,2,5,150.0,195.0,5.0,30.0,0.416667,0.8,0.814167
BKNG,2026-07-20,2026-09-18,60,2,1,1,2,152.0,160.0,8.0,8.0,1.0,1.0,0.67
BKR,2026-07-20,2026-08-21,32,4,3,1,3,55.0,65.0,5.0,5.0,1.0,0.5,0.68
BKR,2026-07-20,2026-09-18,60,1,0,1,1,45.0,45.0,,,1.0,0.0,0.36
BLDR,2026-07-20,2026-08-21,32,7,4,3,6,65.0,145.0,5.0,50.0,0.25,0.857143,0.783929
BLDR,2026-07-20,2026-09-18,60,2,1,1,2,75.0,140.0,65.0,65.0,1.0,1.0,0.67
BLK,2026-07-20,2026-07-31,11,1,0,1,1,930.0,930.0,,,1.0,0.0,0.36
BLK,2026-07-20,2026-08-07,18,1,0,1,1,770.0,770.0,,,1.0,0.0,0.36
BLK,2026-07-20,2026-09-18,60,1,0,1,1,770.0,770.0,,,1.0,0.0,0.36
BMY,2026-07-20,2026-07-31,11,4,1,3,4,56.0,61.0,2.0,2.0,1.0,0.5,0.79
BMY,2026-07-20,2026-08-21,32,7,3,4,6,52.5,65.0,2.5,2.5,1.0,0.857143,0.971429
BMY,2026-07-20,2026-09-18,60,7,3,4,7,50.0,70.0,2.5,5.0,1.0,0.857143,0.971429
BNY,2026-07-20,2026-08-21,32,3,2,1,3,145.0,170.0,12.5,15.0,1.0,0.666667,0.713333
BNY,2026-07-20,2026-09-18,60,3,1,2,3,80.0,165.0,42.5,80.0,1.0,0.666667,0.713333
BRO,2026-07-20,2026-08-21,32,1,1,0,1,70.0,70.0,,,1.0,0.0,0.36
BSX,2026-07-20,2026-07-31,11,1,1,0,1,45.0,45.0,,,1.0,0.0,0.36
BSX,2026-07-20,2026-08-21,32,4,3,1,3,40.0,50.0,5.0,5.0,1.0,0.5,0.68
BSX,2026-07-20,2026-09-18,60,7,4,3,6,40.0,90.0,10.0,20.0,1.0,0.857143,0.971429
BX,2026-07-20,2026-07-31,11,2,0,2,2,107.0,120.0,13.0,13.0,1.0,0.0,0.47
BX,2026-07-20,2026-08-07,18,1,0,1,1,125.0,125.0,,,1.0,0.0,0.36
BX,2026-07-20,2026-08-14,25,2,1,1,2,117.0,125.0,8.0,8.0,1.0,1.0,0.67
BX,2026-07-20,2026-08-21,32,7,2,5,7,100.0,140.0,5.0,10.0,1.0,0.571429,0.914286
BX,2026-07-20,2026-09-18,60,6,3,3,5,110.0,175.0,12.5,30.0,1.0,1.0,1.0
BXP,2026-07-20,2026-08-21,32,1,0,1,1,65.0,65.0,,,1.0,0.0,0.36
C,2026-07-20,2026-07-31,11,9,7,2,8,80.0,170.0,3.0,48.0,0.15625,0.444444,0.677951
C,2026-07-20,2026-08-21,32,11,5,6,9,65.0,150.0,5.0,50.0,0.25,0.909091,0.794318
C,2026-07-20,2026-08-28,39,1,0,1,1,120.0,120.0,,,1.0,0.0,0.36
C,2026-07-20,2026-09-18,60,11,6,5,10,85.0,185.0,5.0,35.0,0.357143,0.909091,0.821104
CAH,2026-07-20,2026-07-31,11,1,1,0,1,220.0,220.0,,,1.0,0.0,0.36
CARR,2026-07-20,2026-08-21,32,1,1,0,1,80.0,80.0,,,1.0,0.0,0.36
CARR,2026-07-20,2026-09-18,60,2,1,1,2,45.0,72.5,27.5,27.5,1.0,1.0,0.67
CASY,2026-07-20,2026-08-21,32,2,0,2,2,530.0,540.0,10.0,10.0,1.0,0.0,0.47
CAT,2026-07-20,2026-07-31,11,1,0,1,1,830.0,830.0,,,1.0,0.0,0.36
CAT,2026-07-20,2026-08-21,32,1,0,1,1,620.0,620.0,,,1.0,0.0,0.36
CAT,2026-07-20,2026-09-18,60,5,0,5,5,175.0,800.0,77.5,460.0,0.421196,0.0,0.655299
CB,2026-07-20,2026-08-21,32,2,1,1,2,245.0,370.0,125.0,125.0,1.0,1.0,0.67
CB,2026-07-20,2026-09-18,60,2,2,0,2,365.0,405.0,40.0,40.0,1.0,0.0,0.47
CBRE,2026-07-20,2026-08-21,32,1,1,0,1,150.0,150.0,,,1.0,0.0,0.36
CCI,2026-07-20,2026-08-21,32,2,1,1,2,72.5,80.0,7.5,7.5,1.0,1.0,0.67
CCL,2026-07-20,2026-07-31,11,8,5,3,7,24.0,29.0,0.5,2.0,0.625,0.75,0.85625
CCL,2026-07-20,2026-08-07,18,1,0,1,1,26.0,26.0,,,1.0,0.0,0.36
CCL,2026-07-20,2026-08-21,32,12,9,3,11,22.5,38.0,1.0,5.0,0.5,0.5,0.775
CCL,2026-07-20,2026-09-18,60,3,2,1,3,29.0,35.0,3.0,5.0,1.0,0.666667,0.713333
CDNS,2026-07-20,2026-08-21,32,3,2,1,3,210.0,560.0,175.0,205.0,1.0,0.666667,0.713333
CDNS,2026-07-20,2026-08-28,39,1,0,1,1,210.0,210.0,,,1.0,0.0,0.36
CDNS,2026-07-20,2026-09-18,60,3,2,1,3,370.0,500.0,65.0,110.0,1.0,0.666667,0.713333
CDW,2026-07-20,2026-09-18,60,2,1,1,2,150.0,190.0,40.0,40.0,1.0,1.0,0.67
CEG,2026-07-20,2026-07-31,11,2,1,1,2,165.0,275.0,110.0,110.0,1.0,1.0,0.67
CEG,2026-07-20,2026-08-07,18,1,0,1,1,165.0,165.0,,,1.0,0.0,0.36
CEG,2026-07-20,2026-08-14,25,1,0,1,1,180.0,180.0,,,1.0,0.0,0.36
CEG,2026-07-20,2026-08-21,32,2,2,0,2,270.0,310.0,40.0,40.0,1.0,0.0,0.47
CEG,2026-07-20,2026-09-18,60,1,0,1,1,220.0,220.0,,,1.0,0.0,0.36
CF,2026-07-20,2026-07-31,11,4,3,1,4,96.0,130.0,13.0,20.0,1.0,0.5,0.79
CF,2026-07-20,2026-08-07,18,1,0,1,1,121.0,121.0,,,1.0,0.0,0.36
CF,2026-07-20,2026-08-21,32,2,0,2,2,105.0,120.0,15.0,15.0,1.0,0.0,0.47
CF,2026-07-20,2026-09-18,60,4,2,2,4,90.0,150.0,20.0,20.0,1.0,1.0,0.89
CFG,2026-07-20,2026-08-21,32,3,2,1,2,72.5,75.0,2.5,2.5,1.0,0.666667,0.603333
CFG,2026-07-20,2026-09-18,60,1,0,1,1,75.0,75.0,,,1.0,0.0,0.36
CHD,2026-07-20,2026-08-21,32,1,1,0,1,105.0,105.0,,,1.0,0.0,0.36
CHRW,2026-07-20,2026-08-21,32,2,0,2,2,120.0,165.0,45.0,45.0,1.0,0.0,0.47
CHTR,2026-07-20,2026-07-31,11,3,2,1,3,125.0,265.0,70.0,130.0,1.0,0.666667,0.713333
CHTR,2026-07-20,2026-08-14,25,1,0,1,1,95.0,95.0,,,1.0,0.0,0.36
CHTR,2026-07-20,2026-08-21,32,1,1,0,1,100.0,100.0,,,1.0,0.0,0.36
CHTR,2026-07-20,2026-08-28,39,1,1,0,1,190.0,190.0,,,1.0,0.0,0.36
CHTR,2026-07-20,2026-09-18,60,2,1,1,2,160.0,175.0,15.0,15.0,1.0,1.0,0.67
CI,2026-07-20,2026-09-18,60,5,2,3,5,210.0,330.0,30.0,40.0,1.0,0.8,0.96
CIEN,2026-07-20,2026-07-31,11,4,1,3,4,285.0,590.0,32.5,262.5,0.309524,0.5,0.617381
CIEN,2026-07-20,2026-08-07,18,1,0,1,1,370.0,370.0,,,1.0,0.0,0.36
