symbol,as_of_date,coverage_status,quality_status,readiness_status,coverage_score,quality_score,readiness_score,contract_count,expiration_count,distinct_strike_count,quote_data_observed,provider_capability_limited,coverage_reasons,quality_reasons,readiness_reasons,informational_notes
AEE,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AEP,2026-07-20,FAILED,REVIEW,FAILED,0.495875,1.0,0.747938,5,1,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AES,2026-07-20,REVIEW,READY,REVIEW,0.78075,1.0,0.890375,16,5,8,False,True,contracts 16 < 20 | call/put balance 0.625 < 0.700 | strike surface 0.657 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AFL,2026-07-20,FAILED,REVIEW,FAILED,0.4825,1.0,0.74125,5,2,4,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AGG,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AIG,2026-07-20,FAILED,REVIEW,FAILED,0.5495,1.0,0.77475,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AIZ,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AJG,2026-07-20,FAILED,REVIEW,FAILED,0.296,1.0,0.648,2,1,2,False,True,contracts 2 < 10 | overall score 0.296 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AKAM,2026-07-20,FAILED,REVIEW,FAILED,0.5145,1.0,0.75725,6,4,6,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALAB,2026-07-20,FAILED,REVIEW,FAILED,0.614333,1.0,0.807167,6,3,6,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALB,2026-07-20,FAILED,REVIEW,FAILED,0.388,1.0,0.694,2,2,2,False,True,contracts 2 < 10 | overall score 0.388 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALGN,2026-07-20,FAILED,REVIEW,FAILED,0.388,1.0,0.694,2,2,1,False,True,contracts 2 < 10 | overall score 0.388 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALL,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALLE,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALNY,2026-07-20,FAILED,REVIEW,FAILED,0.7075,0.916667,0.812083,6,2,5,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMAT,2026-07-20,REVIEW,READY,REVIEW,0.865572,1.0,0.932786,28,5,23,False,True,strike surface 0.623 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMCR,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMD,2026-07-20,READY,READY,READY,0.920419,1.0,0.960209,146,6,66,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AME,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMGN,2026-07-20,REVIEW,READY,REVIEW,0.694333,1.0,0.847166,12,6,9,False,True,contracts 12 < 20 | call/put balance 0.667 < 0.700 | strike surface 0.548 < 0.700 | overall score 0.694 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMP,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMT,2026-07-20,FAILED,REVIEW,FAILED,0.344,1.0,0.672,3,1,3,False,True,contracts 3 < 10 | overall score 0.344 < 0.450,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMZN,2026-07-20,READY,READY,READY,0.91551,0.996711,0.956111,152,7,45,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ANET,2026-07-20,REVIEW,READY,REVIEW,0.855474,0.98,0.917737,25,4,17,False,True,call/put balance 0.640 < 0.700 | strike surface 0.698 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AON,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AOS,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APA,2026-07-20,REVIEW,READY,REVIEW,0.781385,0.961538,0.871462,13,3,9,False,True,contracts 13 < 20,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APD,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APH,2026-07-20,FAILED,REVIEW,FAILED,0.66925,1.0,0.834625,8,2,7,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APO,2026-07-20,FAILED,REVIEW,FAILED,0.612771,1.0,0.806385,7,5,6,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APP,2026-07-20,FAILED,REVIEW,FAILED,0.6175,1.0,0.80875,5,2,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APTV,2026-07-20,FAILED,REVIEW,FAILED,0.506,1.0,0.753,2,1,2,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARE,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARES,2026-07-20,FAILED,REVIEW,FAILED,0.504,1.0,0.752,4,3,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARKK,2026-07-20,READY,READY,READY,0.894633,1.0,0.947317,31,5,24,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARM,2026-07-20,REVIEW,READY,REVIEW,0.860486,1.0,0.930243,15,3,11,False,True,contracts 15 < 20,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ASML,2026-07-20,REVIEW,READY,REVIEW,0.655937,1.0,0.827968,10,4,10,False,True,contracts 10 < 20 | call/put balance 0.600 < 0.700 | strike surface 0.553 < 0.700 | overall score 0.656 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ATO,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVB,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVGO,2026-07-20,REVIEW,READY,REVIEW,0.883375,0.994444,0.93891,90,8,44,False,True,strike surface 0.689 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVY,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AWK,2026-07-20,FAILED,REVIEW,FAILED,0.4825,1.0,0.74125,5,2,4,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AXON,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AXP,2026-07-20,REVIEW,READY,REVIEW,0.763057,1.0,0.881528,20,5,16,False,True,call/put balance 0.200 < 0.700 | strike surface 0.610 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AZO,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BA,2026-07-20,READY,READY,READY,0.925138,0.983051,0.954095,59,4,24,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BAC,2026-07-20,READY,READY,READY,0.972826,0.990385,0.981605,52,5,23,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BALL,2026-07-20,FAILED,REVIEW,FAILED,0.5495,1.0,0.77475,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BAX,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BBY,2026-07-20,FAILED,REVIEW,FAILED,0.643933,1.0,0.821967,7,3,6,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BDX,2026-07-20,FAILED,REVIEW,FAILED,0.4195,1.0,0.70975,3,2,3,False,True,contracts 3 < 10 | overall score 0.419 < 0.450,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BEN,2026-07-20,FAILED,REVIEW,FAILED,0.344,1.0,0.672,3,1,3,False,True,contracts 3 < 10 | overall score 0.344 < 0.450,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BF-B,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BG,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BIIB,2026-07-20,FAILED,REVIEW,FAILED,0.503,1.0,0.7515,3,3,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BITO,2026-07-20,REVIEW,READY,REVIEW,0.560167,0.95,0.755084,10,5,7,False,True,contracts 10 < 20 | call/put balance 0.200 < 0.700 | strike surface 0.434 < 0.700 | overall score 0.560 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BKNG,2026-07-20,REVIEW,READY,REVIEW,0.80625,1.0,0.903125,14,5,10,False,True,contracts 14 < 20 | strike surface 0.654 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BKR,2026-07-20,FAILED,REVIEW,FAILED,0.601,1.0,0.8005,5,2,4,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BLDR,2026-07-20,FAILED,REVIEW,FAILED,0.736423,1.0,0.868212,9,2,7,False,True,contracts 9 < 10,sparse chain: contracts 9 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BLK,2026-07-20,FAILED,REVIEW,FAILED,0.403,1.0,0.7015,3,3,2,False,True,contracts 3 < 10 | overall score 0.403 < 0.450,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BMY,2026-07-20,REVIEW,READY,REVIEW,0.909952,1.0,0.954976,18,3,12,False,True,contracts 18 < 20,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BND,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BNY,2026-07-20,FAILED,REVIEW,FAILED,0.704,1.0,0.852,6,2,5,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BR,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BRK-B,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BRO,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BSX,2026-07-20,REVIEW,READY,REVIEW,0.731143,1.0,0.865571,12,3,7,False,True,contracts 12 < 20 | call/put balance 0.667 < 0.700 | strike surface 0.670 < 0.700 | overall score 0.731 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BX,2026-07-20,REVIEW,READY,REVIEW,0.824857,1.0,0.912428,18,5,11,False,True,contracts 18 < 20 | call/put balance 0.667 < 0.700 | strike surface 0.683 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BXP,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
C,2026-07-20,REVIEW,READY,REVIEW,0.880253,0.984375,0.932314,32,4,16,False,True,strike surface 0.663 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CAH,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CARR,2026-07-20,FAILED,REVIEW,FAILED,0.5495,1.0,0.77475,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CASY,2026-07-20,FAILED,REVIEW,FAILED,0.296,1.0,0.648,2,1,2,False,True,contracts 2 < 10 | overall score 0.296 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CAT,2026-07-20,FAILED,REVIEW,FAILED,0.49253,1.0,0.746265,7,3,7,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CB,2026-07-20,FAILED,REVIEW,FAILED,0.556,1.0,0.778,4,2,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CBOE,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CBRE,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CCEP,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CCI,2026-07-20,FAILED,REVIEW,FAILED,0.506,1.0,0.753,2,1,2,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
