symbol,quote_date,governance_status,quote_observation_status,spread_observation_status,overall_quality_score,contract_count,quoted_contracts,traded_contracts,liquid_contracts,valid_spread_contracts,crossed_market_contracts,locked_market_contracts,negative_market_value_contracts,iv_available_contracts,delta_available_contracts,full_greeks_contracts,quote_completeness_score,trade_completeness_score,liquidity_score,spread_integrity_score,iv_completeness_score,greeks_completeness_score,average_spread_pct,median_spread_pct,maximum_spread_pct,governance_reasons,informational_notes
AEE,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AEP,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AES,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,16,0,16,16,0,0,0,0,16,16,16,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AFL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AGG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AIG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AIZ,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AJG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AKAM,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALAB,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALB,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALGN,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALLE,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ALNY,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,0.916667,6,0,6,6,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,0.833333,0.833333,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMAT,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,28,0,28,28,0,0,0,0,28,28,28,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMCR,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMD,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,146,0,146,146,0,0,0,0,146,146,146,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AME,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMGN,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,12,0,12,12,0,0,0,0,12,12,12,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMP,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMT,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AMZN,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.996711,152,0,152,152,0,0,0,0,151,151,151,0.0,1.0,1.0,0.0,0.993421,0.993421,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ANET,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.98,25,0,25,25,0,0,0,0,24,24,24,0.0,1.0,1.0,0.0,0.96,0.96,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AON,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AOS,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.961538,13,0,13,13,0,0,0,0,12,12,12,0.0,1.0,1.0,0.0,0.923077,0.923077,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APD,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APH,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,8,0,8,8,0,0,0,0,8,8,8,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 8 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APO,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APP,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
APTV,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARE,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARES,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARKK,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,31,0,31,31,0,0,0,0,31,31,31,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ARM,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,15,0,15,15,0,0,0,0,15,15,15,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ASML,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,10,0,10,10,0,0,0,0,10,10,10,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ATO,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVB,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVGO,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.994444,90,0,90,90,0,0,0,0,89,89,89,0.0,1.0,1.0,0.0,0.988889,0.988889,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AVY,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AWK,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AXON,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AXP,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,20,0,20,20,0,0,0,0,20,20,20,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AZO,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.983051,59,0,59,59,0,0,0,0,57,57,57,0.0,1.0,1.0,0.0,0.966102,0.966102,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BAC,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.990385,52,0,52,52,0,0,0,0,51,51,51,0.0,1.0,1.0,0.0,0.980769,0.980769,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BALL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BAX,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BBY,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BDX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BEN,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BF-B,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BG,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BIIB,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BITO,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.95,10,0,10,10,0,0,0,0,9,9,9,0.0,1.0,1.0,0.0,0.9,0.9,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BKNG,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,14,0,14,14,0,0,0,0,14,14,14,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BKR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BLDR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,9,0,9,9,0,0,0,0,9,9,9,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 9 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BLK,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BMY,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,18,0,18,18,0,0,0,0,18,18,18,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BND,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BNY,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BR,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BRK-B,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BRO,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BSX,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,12,0,12,12,0,0,0,0,12,12,12,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BX,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,18,0,18,18,0,0,0,0,18,18,18,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
BXP,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
C,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.984375,32,0,32,32,0,0,0,0,31,31,31,0.0,1.0,1.0,0.0,0.96875,0.96875,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CAH,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CARR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CASY,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CAT,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CB,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CBOE,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CBRE,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CCEP,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CCI,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CCL,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,24,0,24,24,0,0,0,0,24,24,24,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CDNS,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CDW,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CEG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
