strike,call_open_interest,put_open_interest,call_volume,put_volume,gamma_exposure,delta_exposure,vanna_exposure,charm_exposure,liquidity_score
420.0,259.0,20721.0,22.0,100.0,-2171603.83280224,42131742.90120703,2243440.3470719727,270948.85895655426,89.2663569745157
424.78,0,1552.0,0,1.0,-235088.10471435942,2884897.7694732836,247153.22277205114,-20501.183797372196,67.79724492270024
425.0,165.0,8811.0,8.0,3394.0,-861932.7477373211,20427426.491324697,858505.0807179539,79813.51523321337,96.25571162765112
429.78,0,297.0,0,2.0,-47721.74108743512,584681.1962086806,49365.24755488728,-7888.655373387431,63.23566406877324
430.0,205.0,17784.0,13.0,296.0,-2186646.51522886,38686653.20268113,2198856.7056438425,-17425.824788041427,91.50121653674358
434.78,0,143.0,0,1.0,-24363.885895675332,297983.4229727886,24807.446596832127,-5320.496835313008,59.47378809019583
435.0,193.0,3578.0,11.0,196.0,-407389.9753600904,17954372.294790257,405714.5297354506,-33856.58225836062,84.83637649224067
439.78,0,1191.0,0,4.0,-215067.69371763145,2625452.0528651467,215619.69561843693,-53114.42077529993,69.62017120399082
440.0,409.0,16497.0,74.0,590.0,-2312968.7161762435,54415737.869493045,2254090.7085764045,-273182.60564040835,93.57355167914695
444.78,0,1758.0,0,1.0,-336290.6338679428,4097030.9715685416,332071.21082036523,-84677.33177838122,68.23319414826129
445.0,126.0,6661.0,10.0,135.0,-1183068.695520107,23595496.62153625,1181467.529129665,-110377.81488042796,85.83101055736442
449.78,0,447.0,0,2.0,-90636.20918488741,1103073.9398522524,88106.49628522783,-20959.01128175447,64.66261317945677
450.0,1095.0,41377.0,8.0,296.0,-6334814.5299225245,145346894.29511338,5956958.130236166,-437564.87203092786,92.16093532982224
454.78,0,1869.0,0,24.0,-401105.45750873134,4873404.234952673,384129.426764171,-74766.81672079247,76.02455545907482
455.0,261.0,5175.0,11.0,139.0,-868357.2275985593,27853201.865012217,815352.2995328002,-67265.37600006236,85.15527902045551
459.78,0,268.0,0,20.0,-60888.463679024586,739217.2361782496,57417.19526687688,-6982.238797639552,68.71505714177671
460.0,375.0,20330.0,20.0,434.0,-3247233.324283102,59435256.97384142,2892054.4931270215,102948.25071866807,93.14451802999405
464.78,0,505.0,0,32.0,-121353.7464603507,1471858.1457382161,112682.7275700497,-2514.07343607156,72.28240102690557
465.0,194.0,5742.0,88.0,115.0,-1068324.4321834084,25650163.291306287,968280.8003220796,1276.51508116709,86.36571730148002
469.78,0,433.0,0,16.0,-110034.3265590857,1334368.8692053133,100544.58484080978,11079.55896656338,69.75529590152007
470.0,501.0,12726.0,21.0,341.0,-2609142.6812168295,64397913.54297435,2340726.9584632674,197472.16180544815,90.89852726215042
474.78,0,1108.0,0,2.0,-297533.64105430077,3606366.8649905585,267396.12924233224,69497.31551776377,67.83508582173062
475.0,687.0,13070.0,115.0,98.0,-2270907.119469115,69631417.75961266,1904226.9301138348,-18768.560775895647,89.45074317736642
479.78,0,329.0,0,20.0,-93374.22972680337,1132520.8560037706,82383.41156257446,17805.707959335705,69.43039160378211
480.0,1102.0,35446.0,75.0,487.0,-8452492.15821786,172940654.51097503,7335666.514491922,790734.174685789,93.99983888441906
484.78,0,1661.0,0,2.0,-497540.36149790144,6038082.626278804,431254.1429168334,27260.885959349882,69.25105627995822
485.0,743.0,6067.0,113.0,31.0,-1202469.3607407028,64279642.2520817,1022716.1731891136,-28578.19212069521,85.82223103660634
489.78,0,634.0,0,1.0,-200519.10527858033,2435586.1941537377,170624.1254792885,-12466.61391554813,64.66712903780426
490.0,835.0,23171.0,83.0,234.0,-5232326.9999597,111991310.25072385,4255904.758934716,-180808.89905973565,92.28615414834053
494.78,0,745.0,0,3.0,-248716.4333470168,3021958.9108608468,207738.50926201072,-38996.307560393245,67.31042268407283
495.0,577.0,6630.0,11.0,152.0,-1624317.6717169343,57513210.78036465,1336872.5085984855,-180220.0508516656,86.38991308098122
499.78,0,739.0,0,5.0,-260530.86224039638,3168426.435936858,213380.72268688233,-60491.571743134264,68.49855405937791
500.0,3591.0,79390.0,60.0,2231.0,-21389231.62562435,479972422.23134273,17049281.570467867,-3078245.3406256386,98.21154023350388
504.78,0,2713.0,0,1856.0,-1009993.2269895317,12296313.693831434,810547.1710515434,-289073.3557053982,90.25177862543997
505.0,1131.0,8081.0,21.0,189.0,-2248380.8029883252,102589605.24923576,1790339.4795633776,-425037.6653523382,88.00487223230945
509.78,0,312.0,0,22.0,-122639.53034444407,1494862.2421482007,96358.06588483027,-39141.21374454979,69.51819381467797
510.0,1175.0,18863.0,82.0,260.0,-5478373.692654422,137756203.40654036,4137896.5592498286,-1042905.0764432414,92.18221612963731
514.78,0,349.0,0,1.0,-144799.44784397847,1767266.135553573,111291.68842592223,-47781.79601330829,62.58220758237194
515.0,864.0,9115.0,13.0,99.0,-2656191.307714582,86638889.85504426,1962366.6996635427,-482693.049591657,86.41134774870629
519.78,0,840.0,0,1.0,-367794.1626339744,4498220.654480415,276144.22311548685,-116924.53156484997,65.65051235158515
520.0,999.0,36454.0,44.0,184.0,-12250780.818288364,186880011.57573894,8723849.48965167,-1941392.3262721223,91.30116601066271
524.78,0,418.0,0,26.0,-193017.2462056594,2365672.8393087317,141425.9576516605,-54626.85100046606,71.02005881774048
525.0,1917.0,23526.0,117.0,327.0,-7709551.643889394,209679322.36802942,5391007.112819004,-476779.82352911204,93.29422284649871
529.78,0,433.0,0,2.0,-210757.24500997865,2589342.358437375,150475.060663127,-47962.601981859276,64.55149273535574
530.0,2019.0,55468.0,47.0,3651.0,-20279371.062186435,346366074.90466326,13790929.45361278,-3749302.96902205,99.64745337549736
534.78,0,360.0,0,9.0,-184522.15312575415,2271905.0302615883,128243.23526503738,-27954.051054981242,67.51882813314722
535.0,927.0,22937.0,37.0,524.0,-8737278.239499735,145357492.54227662,5712853.1730840225,-700617.9546885187,93.99450554968107
539.78,0,487.0,0,2.0,-262774.6869473179,3245858.306699019,177309.0895000481,-15089.240649792702,64.96194078649035
540.0,1744.0,56328.0,117.0,995.0,-25917499.8769045,399043357.28600097,17015515.49156296,-1267016.6667268968,96.04444305382663
544.78,0,605.0,0,3.0,-343562.3676788485,4255274.40631436,224954.48690875212,616.5746583170896,66.58296303460227
545.0,566.0,14641.0,24.0,481.0,-6329115.142345736,97322269.27117912,3934889.457682225,-257774.72780616122,92.38312910245132
549.78,0,390.0,0,2.0,-232746.08527378945,2906114.2162346155,148546.31314439763,-25574.185745099883,64.18631332595311
550.0,4872.0,91613.0,54.0,3140.0,-44609737.66052516,779002548.4471002,27556242.039750718,-1357406.2459245939,99.2080271004349
554.78,0,3903.0,0,13.0,-2444893.8544437448,30535833.221708577,1526653.4039942918,-458651.20362496295,76.86132130521122
555.0,1445.0,28268.0,30.0,685.0,-14719489.119337643,242762428.07277197,8823875.507064717,80693.55083369577,94.72104050088194
559.78,0,304.0,0,25.0,-200004.30325925734,2509762.5949105606,121588.59794418608,-51129.706091255866,69.79538083219039
560.0,6938.0,50500.0,71.0,5069.0,-25216756.69484558,730931360.7235672,14807908.914596587,-1980634.5407235245,100.0
564.78,0,707.0,0,29.0,-488457.73842318327,6158822.113740022,288481.5772679051,-149246.78139090008,73.17214647291448
565.0,2101.0,24245.0,50.0,836.0,-13357252.084186485,263718157.26763514,7459105.2235910185,-1060667.70618178,95.36353494692874
569.78,0,882.0,0,3.0,-639767.010643557,8109311.1653214805,366069.62979115645,-216081.11464493955,67.90052128547353
570.0,6505.0,93296.0,57.0,3613.0,-54873470.65623901,886588465.383595,29320735.659685258,-3069262.6855456783,99.6246581504905
574.78,0,1711.0,0,2.0,-1302320.1669320518,16595626.27646323,720187.775676611,-456339.2987978461,69.35479831446023
575.0,4283.0,48657.0,47.0,2353.0,-31198215.781076226,599839333.9525712,16547153.346165717,-5658539.234764846,98.35092178866375
579.78,0,1259.0,0,7.0,-1004965.1972374996,12883002.201239333,535316.9325136028,-346055.9772465126,71.22435912484885
580.0,6091.0,50500.0,20.0,1029.0,-32925448.135508463,745083872.0333135,16878369.52655885,-6357787.832143036,95.8696363294547
584.78,0,924.0,0,29.0,-772978.3281937147,9967682.22004565,395401.1655335574,-248084.50242428688,74.10787022627994
585.0,7164.0,23394.0,15.0,1070.0,-12579212.119121889,601757589.1775881,6173108.018433833,-1664964.0285820735,95.97076950148164
589.78,0,764.0,0,11.0,-668998.962787256,8710481.964787748,326280.59765988035,-187021.66379014167,70.69428536775688
590.0,7566.0,51409.0,28.0,2548.0,-37056149.00080759,853622829.8440847,17221706.470482744,-2161319.1703998465,98.5631436319571
594.78,0,905.0,0,13.0,-829079.749934983,10865949.377401512,385186.9208912604,-187110.5555401215,71.7488095599962
595.0,6118.0,23159.0,20.0,858.0,-14781504.167601362,545896456.9088767,6485517.008192547,-365621.95469526015,95.33635469305553
599.78,0,1248.0,0,19.0,-1196352.349912287,15742449.230630362,528762.2549417274,-206032.95408661247,73.9425416061015
600.0,17775.0,153009.0,600.0,17256.0,-129835256.05301376,2381921809.1753154,55138602.76650131,1884930.2237239452,100.0
604.78,0,373.0,0,21.0,-373197.63369560643,4953170.5874719955,157804.76547392897,-76940.91261053682,70.00802265102581
605.0,4732.0,30682.0,359.0,2315.0,-26668257.892577145,592466918.5145017,10997611.000069007,-1840062.5594230534,98.67511397799032
609.78,0,1559.0,0,4.0,-1626301.0317491856,21771281.520193722,659656.9759103011,-430401.52511394373,70.56185758815484
610.0,18419.0,50356.0,236.0,3004.0,-34650499.53588898,1616826356.8501534,13618114.15685409,-4821345.047683796,99.25091160942463
615.0,12229.0,59421.0,86.0,2184.0,-54709019.45543885,1382557683.5098295,20361344.45226729,-6132485.105850829,98.18392662631668
620.0,10000.0,92170.0,108.0,2787.0,-103203315.29634923,1689209764.3194585,36484749.88948369,-8173455.4416564265,98.91325726051681
625.0,12440.0,45160.0,64.0,6865.0,-42785766.76564539,1234592536.2244036,13895444.558357548,-5215696.356774647,100.0
630.0,22316.0,81168.0,88.0,9159.0,-87307352.41355392,2243432073.948689,26599736.04021677,-1660833.874872637,100.0
635.0,10643.0,26400.0,167.0,3114.0,-23943637.954300735,958070146.4414287,6929349.728749409,-2825145.830165574,99.28862481495011
640.0,20311.0,65164.0,406.0,7476.0,-72330124.29692969,2085095641.2567198,19299076.76101574,-9198921.134234749,100.0
645.0,17342.0,41742.0,198.0,5887.0,-47914782.68511496,1496415515.7365587,11022333.010152327,-4805865.596913695,100.0
650.0,25099.0,126880.0,380.0,21755.0,-200959377.32866707,3406787864.1474357,43617000.6911058,7036769.650602015,100.0
651.0,6.0,1040.0,6.0,355.0,-2164381.752790547,16864691.274586514,456336.28304555966,252847.92560399338,82.0128273735242
652.0,5.0,451.0,20.0,473.0,-958503.8652525737,7421174.109459779,196435.55822413322,112155.4444870686,80.04399841969348
653.0,46.0,587.0,22.0,284.0,-1280185.0287979867,10916737.96710443,249552.77807364627,148403.2279989668,79.76271458329188
654.0,14.0,308.0,18.0,224.0,-691641.0017363079,5423225.67337262,133029.7047899798,94145.59713067471,76.70096746130093
655.0,16580.0,29721.0,290.0,7951.0,-37046953.508478194,1308066868.7621331,6974469.678514711,671425.6826423688,100.0
656.0,26.0,1144.0,75.0,362.0,-2881377.792551606,17887469.65270873,513859.0254372094,420824.51766552,82.97630350372134
657.0,7.0,315.0,71.0,296.0,-734155.4872337744,5633100.312850286,132519.30985565923,104945.47456997137,77.94603194578609
658.0,37.0,359.0,135.0,384.0,-838132.9866311772,7636928.599633381,145458.34691410392,130638.68803271238,79.70526341713159
659.0,61.0,553.0,78.0,323.0,-1272425.3068188946,12345860.49866786,216989.25364482432,190545.98712133957,80.46503420317987
660.0,36759.0,321406.0,823.0,23333.0,-533254616.69790584,8479622531.165697,92301969.07088032,-92679684.21208349,100.0
661.0,42.0,482.0,82.0,357.0,-1194066.0139769623,10328768.04931658,191943.06234853843,177686.5597823174,80.1822180998076
662.0,18.0,569.0,16.0,245.0,-1381614.5255328834,11507367.286210535,218793.74726348603,191134.5210930988,79.02357782892848
663.0,40.0,544.0,32.0,253.0,-1360276.8327824175,11943701.193205556,208276.35090009018,204335.82364233263,79.26861689777105
664.0,21.0,380.0,35.0,206.0,-1000148.7970313765,7996113.444866388,147282.66506172175,149305.32239100419,77.45439548863664
665.0,13907.0,36566.0,421.0,6884.0,-64430659.771964945,1383060690.0789511,9302232.168351604,1824824.9312566374,100.0
666.0,25.0,577.0,31.0,356.0,-1567938.38704641,12288816.278288634,216425.93611554746,248598.22105100768,80.28972620741497
667.0,72.0,370.0,41.0,287.0,-896803.8773140247,10653529.518667532,119464.02754232183,141347.23154586545,78.7156674474541
668.0,16.0,447.0,68.0,345.0,-1268355.2260898747,9647070.15875511,162562.6160851345,217013.5454365086,79.56719385426783
669.0,45.0,577.0,44.0,287.0,-1566488.9867631416,13966554.131793428,193822.27902744166,279607.3813412632,79.93631772250555
670.0,28195.0,80296.0,919.0,15036.0,-148507047.7499758,3071504610.764011,18034024.190440528,16934164.749895386,100.0
671.0,33.0,480.0,41.0,420.0,-1408145.6962080405,11528666.563336875,158877.87310248063,255082.12611932502,80.25447610233829
672.0,172.0,468.0,200.0,327.0,-1049333.5784989428,17844678.282855477,110964.11735594778,174610.00423825538,81.42789195034112
673.0,25.0,1166.0,69.0,456.0,-2911573.3076343704,28482447.40951523,309976.56279496965,354126.5553428019,83.58776110490166
674.0,9.0,540.0,35.0,465.0,-1706385.8789207237,12379906.331878955,166861.54840888074,344208.674859386,80.73453227704739
675.0,24708.0,58749.0,1257.0,11227.0,-101434300.8511283,2512511988.5637765,9787995.179714594,8686709.53013952,100.0
676.0,45.0,601.0,41.0,2425.0,-1775059.9825553058,16100844.041634435,156981.66656942718,399254.6708932072,86.08548638034122
677.0,195.0,1593.0,819.0,816.0,-3731973.438752134,48410500.15518221,325584.25711371674,520947.1633540585,88.41297084376859
678.0,51.0,882.0,54.0,680.0,-2718480.812410604,23629850.286382295,213704.88727745903,601002.4661319347,83.73777903143946
679.0,48.0,558.0,79.0,354.0,-1720129.205011125,15834105.495768651,126354.69541743447,398952.2422162984,80.64898437100946
680.0,40151.0,189457.0,1499.0,20566.0,-421995585.7157263,6658435686.410486,30326540.123249907,33968429.09762846,100.0
681.0,79.0,440.0,47.0,603.0,-1281484.7738055813,14603146.0177995,80325.59792742824,301949.2704786654,81.32392976713986
682.0,60.0,391.0,47.0,357.0,-1162485.1760907369,12728668.852995165,67730.13079307364,273199.6094121273,79.40954883073242
683.0,32.0,870.0,41.0,1409.0,-2855370.925595223,24461312.44444619,154142.11241251387,664362.5796566545,85.660053695612
684.0,95.0,907.0,48.0,288.0,-2825285.1271782336,28516874.516800787,137799.15676890605,670839.3599311259,81.64787654892386
685.0,19550.0,32289.0,887.0,8499.0,-55328850.98200453,1703186621.4052997,2432348.5784247476,10429388.775148744,100.0
686.0,175.0,738.0,312.0,656.0,-2274213.5591324866,27636638.745657317,82817.34150414425,600481.4457835665,84.49120083576182
687.0,229.0,1311.0,743.0,905.0,-4337883.110400758,46374623.005622655,135214.3487930941,1196504.8326790195,87.9144268912992
688.0,531.0,1839.0,312.0,693.0,-5297590.985584695,74451701.96494381,137320.68941712176,1424006.274055729,87.93994685320797
689.0,255.0,850.0,993.0,674.0,-2338132.7712232317,35171447.28783768,48538.916951049236,593530.0264429036,86.78790988604405
690.0,43280.0,114909.0,4487.0,16046.0,-337194773.1376566,5155147938.920551,5154842.500099812,100311626.55805992,100.0
691.0,314.0,1329.0,859.0,1330.0,-4076937.119006704,52813526.8829143,39902.09362644211,1149925.7195679971,88.99207698308808
692.0,278.0,953.0,1194.0,1276.0,-3209209.5161056123,40247221.28185769,10775.815465981565,1040305.7125046735,88.34451412229296
693.0,345.0,3786.0,6612.0,6050.0,-10577598.950461328,132097203.95801456,13757.362393093923,1861163.1664703104,94.14280890583835
694.0,727.0,1135.0,1789.0,1619.0,-1811676.7366060696,63675297.12694161,-12453.771860581057,432900.50206014776,90.75732461351926
695.0,9594.0,34036.0,5888.0,7862.0,-104298382.1211006,1474081702.0216918,-1222731.3811404128,29179615.937889893,100.0
696.0,1417.0,1101.0,1234.0,806.0,871518.6905386008,88066568.54189087,15776.013613435833,-542047.5937131945,90.27424595566367
697.0,623.0,1179.0,3302.0,2544.0,-2704927.8731567855,62467472.14628988,-63864.404298226174,815274.3709310312,91.24022528121161
698.0,527.0,2259.0,1074.0,1445.0,-8315170.87844569,97260881.22126316,-243503.65864015787,3071711.1264218288,91.26056613770322
699.0,1033.0,1306.0,667.0,306.0,-851053.5906299776,81042810.65163466,-23840.232123525264,-146456.93042135224,87.79690564015871
700.0,97883.0,218220.0,31901.0,17976.0,-402175381.21997845,10979957344.369246,-14551289.309795104,20588613.935694598,100.0
701.0,1136.0,1110.0,405.0,274.0,214614.4305782874,77856204.02986634,14707.083107247301,-511657.7560939984,86.57700784715911
702.0,878.0,1316.0,457.0,177.0,-2250443.8594038496,77775382.59698649,-114960.00269241008,682505.9918726777,86.28965563596053
703.0,638.0,1133.0,1315.0,152.0,-2293281.4530207547,63253555.302682936,-130456.3922041984,677067.410467513,88.05449308660098
704.0,720.0,1975.0,300.0,283.0,-5748933.327463773,98735324.45877197,-361033.3736775376,2045502.4525982833,86.75803860059737
