strike,call_open_interest,put_open_interest,call_volume,put_volume,gamma_exposure,delta_exposure,vanna_exposure,charm_exposure,liquidity_score
349.0,129.0,833.0,4.0,150.0,-849249.4884194124,10470697.61275913,215629.56186212483,-229804.5055368508,79.17546229205118
350.0,2832.0,38580.0,145.0,29338.0,-45021205.041242346,393798041.92815924,10835530.853937227,-11907173.574964946,100.0
351.0,44.0,2532.0,12.0,129.0,-3640440.147741497,16008986.653351229,780475.6794041127,-1271469.3223176936,82.35781541008706
352.0,146.0,531.0,37.0,58.0,-557254.9381736127,8371471.278198599,120559.44606967446,-172379.41634886398,76.51006008219488
353.0,215.0,729.0,90.0,128.0,-688232.3479261519,12854029.374897854,147242.61601481106,-186520.49011876548,80.1463624356776
354.0,61.0,943.0,8.0,683.0,-1222600.528515839,10860906.116068408,247544.34142395074,-290571.3603058245,83.81335773857913
355.0,2018.0,6155.0,28.0,4840.0,-6964303.807687886,110659314.43253046,1285802.3191220162,-1665336.8017028368,96.53049782443478
356.0,196.0,1429.0,6.0,150.0,-1747351.6926783053,20346423.66094033,313627.39421326807,-434134.82725949463,81.04731143142206
357.0,82.0,690.0,7.0,55.0,-985582.2501631634,9298644.4060056,164804.97652098484,-219740.9142439316,75.70538084923058
357.5,1.0,27.0,1.0,4.0,-50994.41372611371,272071.58621686965,8025.866429159166,-10766.129794879038,57.16081381263682
358.0,679.0,901.0,288.0,59.0,-394313.36376765935,27607449.774437785,63816.7754824913,-184027.87401754258,83.33695236955657
359.0,212.0,873.0,40.0,55.0,-1021950.8306337964,15643874.344168771,150764.6879643904,-227338.9114662545,78.15894232613209
360.0,1670.0,17203.0,1158.0,2050.0,-27358657.952139527,241676924.36296114,3699043.3430598495,-5459652.866587784,98.68053599736405
361.0,618.0,432.0,387.0,92.0,228212.6314168406,20599892.478275657,-27497.522132773676,-42272.198217090445,82.87259910977514
362.0,135.0,3570.0,77.0,33.0,-6938842.204448203,46696091.47800362,767513.5028454704,-966995.1476345201,82.89057002789556
362.5,0,49.0,0,1.0,-113627.30044549072,576196.4775629558,11815.099613115814,-15988.599178443974,55.77152206067834
363.0,339.0,2680.0,220.0,351.0,-5122917.333468077,41613515.10649547,508646.6626776278,-767150.7019448897,87.0929593604306
364.0,146.0,635.0,129.0,58.0,-1277383.7362784788,11449156.988364767,113320.07475193217,-223876.40190798684,79.02581748039843
365.0,2064.0,9042.0,102.0,705.0,-12730862.629165376,175754064.92229632,1045504.4748194858,-2756003.2517026467,92.68734404264819
366.0,335.0,458.0,90.0,83.0,-278239.02991262864,14273138.589818155,19838.701371457988,-110178.60970012617,78.84695801200857
367.0,672.0,1882.0,27.0,35.0,-2882265.096420046,42983742.584914915,164294.48294920838,-476485.20331832237,79.88973043840691
367.5,44.0,6.0,3.0,38.0,95110.944920736,1067581.7141945767,-4614.82349708192,4326.513887116198,64.97439856938524
368.0,1988.0,470.0,46.0,78.0,2576080.846775464,50421830.55528606,-117539.21607797877,66115.27435679336,81.81122635966356
369.0,955.0,1514.0,171.0,80.0,-706924.4619018242,44776940.57868531,29836.988054653317,-290342.8726645211,83.93019426621134
370.0,16330.0,36467.0,611.0,1273.0,-38732942.82582692,945321759.6077758,958727.8953652888,-10236388.839445533,97.62504929964634
371.0,570.0,746.0,119.0,183.0,-654653.727870894,24413990.343245134,5440.479839141581,-168674.6724312723,82.2820893726296
372.0,1418.0,548.0,419.0,176.0,1892727.0922458519,37416593.41966301,5794.820559492974,-148295.2178827248,85.71564886555777
372.5,126.0,5.0,3.0,11.0,321531.57926588407,2459635.769007031,3227.531474879109,-8012.729399378776,65.21395733235893
373.0,2116.0,510.0,256.0,101.0,3301240.6185194086,49555626.32322239,44438.1958348082,-128139.23055645757,85.1991912231015
374.0,1625.0,1489.0,155.0,53.0,445922.687672831,57809925.185222216,18229.352409364506,-502255.99182287866,84.18094826516986
375.0,12366.0,16245.0,754.0,327.0,-9344319.964839974,539087490.1338768,-310642.9558759907,-5267281.14852324,95.95969937821928
376.0,1369.0,774.0,195.0,29.0,1334562.9740272325,39035476.01442617,70417.19580534348,-361840.33784684417,83.09480103428069
377.0,446.0,1062.0,105.0,75.0,-1399945.3333983968,29522696.230420027,-83898.69043995721,-307244.3563345506,81.21269969948494
377.5,146.0,7.0,5.0,1.0,365686.7141674982,2376465.9729229985,25539.03766390954,-30276.888188936242,63.46706455561364
378.0,689.0,766.0,214.0,67.0,-327609.83809487044,27730207.733104024,-24538.57022820381,-224685.170866466,82.41779001346255
379.0,821.0,872.0,79.0,40.0,147233.69681398373,31009600.868260846,21414.602957363124,-444396.41114924685,80.38444279158813
380.0,12340.0,14627.0,5046.0,140.0,-4408286.143817008,510259674.94034696,-325262.0926497099,-6983886.640283575,100.0
381.0,1582.0,1008.0,164.0,21.0,2004153.2473419306,42868508.700076364,244614.07767745154,-999670.2853929498,83.18653715310698
382.0,1695.0,539.0,252.0,33.0,2482787.8773497464,35657608.396588,306849.8019378819,-522289.150456735,83.95996320712639
382.5,30.0,2.0,5.0,2.0,68455.79802335595,405846.9948911357,8996.720341288556,-11701.487084556371,58.47610109017219
383.0,362.0,642.0,146.0,29.0,-493761.3557172774,19838865.38722589,-58806.8292746586,-326188.9000545897,79.70605185684056
384.0,623.0,436.0,81.0,126.0,582806.929598065,17517812.522434965,94284.66434777905,-412535.2844285318,80.39369889397534
385.0,13719.0,9809.0,505.0,64.0,6541160.10632015,418009289.1364748,1076660.3582440591,-6056952.17495845,94.03690908248579
386.0,760.0,694.0,104.0,30.0,219131.3351103116,25944703.894481413,48287.09902238958,-526593.1846839064,80.20548846393487
387.0,946.0,193.0,56.0,10.0,1388565.5623299556,15844760.152675886,251204.12922062704,-259046.79144100568,77.2498202530328
387.5,14.0,2.0,5.0,2.0,25382.21261231146,181357.7538367587,4765.229698245259,-5544.20624855694,56.15457132923626
388.0,1065.0,373.0,86.0,22.0,1431268.5472187437,20074289.445765384,282510.42392646964,-453803.82465289935,79.5250066207932
389.0,346.0,71.0,98.0,9.0,488226.9056954332,5470945.327572296,99805.76156600956,-112967.97776640372,75.1705786952093
390.0,14949.0,11893.0,5694.0,123.0,4022772.095782979,480929163.1532894,986648.0613867748,-8420582.985591909,100.0
391.0,645.0,24.0,21.0,13.0,1089981.0049260082,5300921.998786851,245266.62322297995,-297847.95511556166,73.44151617781577
392.0,408.0,44.0,27408.0,11.0,586490.6511848338,5009114.574669369,139831.32963347473,-119367.60135012923,86.40562243919062
393.0,473.0,73.0,66.0,27.0,661293.0363097807,5811395.997884648,167969.03112807975,-195282.90151950042,75.69545515528695
394.0,3871.0,27.0,136.0,6.0,6276206.635323667,28065205.31809722,1664055.9623679533,-1365858.8424619695,83.82819775221881
395.0,7863.0,2608.0,1266.0,47.0,7539827.055348006,141325382.29370672,2096590.2276485134,-3272110.6632160107,93.94010467369773
396.0,455.0,16.0,101.0,9.0,632215.8164207288,3084676.8695830996,178034.09616233926,-173145.85120023187,75.67801705348644
397.0,210.0,31.0,20.0,7.0,238496.77713823627,2553323.757555849,69509.20719875181,-60718.04388046464,69.20789557207401
398.0,354.0,26.0,17.0,4.0,432539.2972727735,3082898.7025127467,130950.32102887306,-99304.99427497365,70.0729251730184
399.0,317.0,19.0,236.0,11.0,375479.8407760114,2570430.0719732353,116334.52986022667,-80097.58916962845,76.9105764947282
400.0,24463.0,22167.0,16997.0,756.0,-277586.67506042216,852785482.6052707,459694.3066700916,-20674988.406409286,100.0
401.0,545.0,23.0,102.0,30.0,631612.5708098982,3391666.770279876,212618.6972462408,-180910.36599385692,76.87462890410741
402.0,463.0,22.0,26.0,19.0,501181.7683373197,3342398.2549321163,172052.96622473586,-123139.84528638188,73.137654373119
403.0,205.0,23.0,38.0,21.0,170954.68012839672,1445105.8880179166,58500.33299143723,-86836.0036059798,71.30106069910613
404.0,659.0,24.0,1253.0,13.0,673026.8093224892,3541931.1519483873,247522.26008464856,-201491.23425392274,84.28107425264234
405.0,9125.0,3866.0,1628.0,79.0,5062614.536015004,170593624.89378408,2053222.1841778064,-5457358.890032395,95.48154684145065
406.0,966.0,2.0,72.0,3.0,1002073.4197953097,6479086.433157734,383643.6715974855,-111668.3800618176,77.05912616247667
407.0,343.0,23.0,33.0,30.0,306340.2591250519,2134401.858008727,121653.78817672467,-79580.52360224126,73.14541571827002
408.0,4036.0,36.0,654.0,20.0,2370157.698269251,6173671.868336663,852397.6859802566,-1144539.235136303,88.63661094938703
409.0,1488.0,8.0,1231.0,6.0,1481001.636934347,8627770.063323865,616522.0420914235,-60028.0419304006,86.95302170520233
410.0,17232.0,15814.0,625.0,32.0,-620726.7304661027,616774262.0774133,282343.06792608486,-18882212.17359898,94.46761479397595
411.0,25.0,0,1.0,0,12420.720581575028,29685.039233546733,4512.086402567225,-7018.103315231414,53.48277942475502
412.0,3.0,0,1.0,0,1428.2489457095653,3450.7996022250068,520.4540848523195,-850.3880169665372,46.93147180559945
413.0,49.0,0,32.0,0,21017.70600287302,49422.17351003818,7771.135486294491,-13730.283007740181,64.18160320339796
414.0,19.0,0,2.0,0,7700.879364886118,18165.514654535513,2870.1064089777415,-5204.408227219211,53.7808998234433
415.0,23548.0,5964.0,217.0,22.0,13243875.272840504,303223243.5505071,6615052.242184621,-10813490.138797065,91.44191677002597
416.0,9.0,0,9.0,0,3290.404122163329,7849.836998507088,1246.275158917876,-2327.2907377318984,54.9668031044613
417.0,2.0,0,1.0,0,718.2789406447916,1752.6556615703323,271.9583826944307,-519.0966338769016,45.92458455201822
418.0,32.0,0,7.0,0,11293.672751837943,28170.596762736226,4274.698533197774,-8335.101553694354,58.47610109017219
419.0,2.0,0,1.0,0,657.7916105665993,1630.9862194029804,252.75850003443315,-489.60303112702957,45.92458455201822
420.0,26064.0,9317.0,1055.0,210.0,9961453.785593394,415246311.81060493,5325490.93459424,-18598827.265335143,96.43085280811236
425.0,12371.0,1208.0,127.0,9.0,5986574.665553709,76432209.21710931,3411249.0722731543,-2667477.4168239017,88.06717968137878
430.0,18488.0,3843.0,720.0,1657.0,7187008.459684128,75870489.67258497,4272991.684324864,-3782234.507636361,98.32204523175218
435.0,10109.0,2806.0,347.0,2712.0,4614167.08445584,23942632.705672838,2991427.027353188,-668742.232871731,97.21028804641286
440.0,9188.0,2945.0,1574.0,10482.0,2189925.6642718827,78374550.42425264,1556083.4438175391,-3823184.008127884,97.91318347975785
445.0,10521.0,540.0,128.0,1317.0,3388025.5032142457,16725675.348709963,2437115.931926064,-70799.71199075469,94.4191180250973
450.0,28028.0,334.0,450.0,1319.0,8578721.059991995,44425384.747926,6477143.067782322,235282.19942294626,97.43620447670362
455.0,7270.0,5.0,22.0,150.0,1758788.8473594752,9115891.154904185,1338222.5937881307,-240706.37886865792,86.58305267222637
460.0,26338.0,6.0,370.0,6.0,5312949.095653804,24848547.2305157,4166052.4193473984,-994888.4994926235,92.79673556234403
465.0,46832.0,2.0,151.0,2.0,8998368.866933448,42462548.317009434,7458660.610165543,-1537680.9625089816,90.11085780724089
470.0,47379.0,3.0,353.0,12.0,8018982.501335498,38326140.074033864,6877052.01525742,-858897.970840314,92.70790000020409
475.0,16471.0,300.0,99.0,2798.0,2402320.7903693602,11661924.578362199,2080157.6841633122,-145284.59122173104,97.96145974765916
480.0,10278.0,9.0,546.0,5.0,1241081.1304185805,6174879.532363667,1096281.3922941939,-13610.510023013281,91.27621120150218
485.0,6792.0,500.0,165.0,4420.0,872378.0266678698,4604532.9982826095,787545.6762725879,-15834.424811488178,96.13134592044482
490.0,10423.0,4.0,38.0,3.0,963591.803552683,4658909.991368194,866158.0231342111,-53326.84973180202,83.59588306753697
495.0,5076.0,0,30.0,0,472224.50200125016,2457199.192083192,438794.0731846408,-22224.956570017854,80.16562696577131
500.0,61151.0,7.0,396.0,2.0,5873685.925922444,30665948.411980517,5665413.842829881,137423.61618791425,92.9668842506696
505.0,6593.0,0,765.0,0,527329.2709766302,2791625.351409969,499624.8861477247,-62551.014508318854,90.70225049193263
510.0,9643.0,150.0,505.0,1455.0,715813.8100446577,3779866.551903938,682745.3898439496,-73774.49264962846,94.90696779150696
515.0,5753.0,0,86.0,0,512631.83625479223,2939234.8339318167,526653.0823719548,32410.658453893706,83.69950126035397
520.0,8875.0,0,423.0,0,581681.8308997975,3133438.1854041475,571539.4942558671,-60789.51257847398,89.96807235987957
525.0,28365.0,0,90.0,0,2229163.694778802,12923708.672444247,2386963.658413866,134269.92933956327,88.53257851955055
530.0,28888.0,0,567.0,0,2127497.1562763364,12453973.124161396,2309752.826183612,58612.99803534465,94.02636425616345
535.0,1726.0,0,16.0,0,116171.57953502829,707498.2136549071,126913.48448231295,18497.253331871158,74.58913380568202
540.0,1721.0,0,30.0,0,112750.94140150161,711035.3454219985,125670.22757785679,35841.81188251764,76.38130751091231
545.0,2727.0,0,111.0,0,151157.91121425934,926608.0304819423,164652.5880906692,34275.70348657737,81.84513068025703
550.0,113975.0,0,62.0,0,5319355.749328527,30383494.946301907,5949964.4727215795,1056526.578075375,87.4294041791746
555.0,94374.0,0,175.0,0,4353716.263340994,25510042.765441265,4866612.405692955,830575.3303570716,90.51145198511446
560.0,3836.0,0,25.0,0,186445.32645330727,1179377.1028094538,217564.2078371921,80403.72661755302,78.65785092992877
565.0,3110.0,0,9.0,0,112905.97089799662,677929.6962554662,115427.492676452,-19502.645394157556,75.05720351812387
570.0,2794.0,0,15.0,0,99960.32622249967,600685.7386488415,106867.06168061488,450.41984896864597,76.09232201628154
575.0,6713.0,0,50.0,0,304737.35142154933,2042037.487803707,348224.2753469144,20245.7854257032,82.63730251956291
580.0,2454.0,0,247.0,0,81865.63981858766,515782.93165732047,86025.7645475636,-9469.434057598484,83.86087337929511
585.0,989.0,0,102.0,0,39942.89504644144,276306.5431134252,46953.90986729024,8880.541596983147,78.04615426563913
590.0,75173.0,0,547.0,0,2042760.672169319,12161397.652350599,2467582.4570920877,342734.6821948561,93.91882586084405
595.0,75298.0,0,8.0,0,2285628.1447400814,14380890.317848142,2787273.3052234845,1080298.5786061916,81.59167373200866
600.0,18601.0,0,226.0,0,682092.70754066,4746376.02345949,815954.119973254,132646.84373893964,90.68343538525265
605.0,2901.0,0,8.0,0,76364.94574990735,484489.63251858065,92222.1802317236,11596.250319728691,74.49771774906311
610.0,1177.0,0,9.0,0,33982.79813983226,256811.9794194947,36862.86558136544,-5824.069425223732,71.6582620537225
615.0,1006.0,0,13.0,0,30123.41146118676,213564.09238727155,36382.696169962546,2700.576778522758,72.11873011336075
620.0,1394.0,0,8.0,0,38202.26738149943,274603.08683652687,48523.918440952504,9058.992226154929,71.93394766190279
625.0,1167.0,0,9.0,0,29957.752614791192,208721.9275948508,38464.329526422225,12677.55221813182,71.62842385084073
630.0,1651.0,0,23.0,0,40254.75403730397,288352.43446612684,52190.83151283195,11595.370186591063,75.46825833032706
635.0,7889.0,0,21.0,0,173264.1771569531,1183672.7943670487,218719.41084625153,26085.62990736697,80.67985730851467
640.0,8287.0,0,86.0,0,168103.11962690653,1141825.532504046,207023.93084680027,12010.25612743829,84.97669823171117
645.0,1215.0,0,17.0,0,28685.81245493239,210713.07238023207,38804.59931491046,17335.01109101869,73.53274249252988
650.0,5247.0,0,54.0,0,106738.62001911813,765078.50211393,137689.51275812165,19192.420933079666,82.00160771288114
655.0,2269.0,0,9.0,0,57720.15167437886,440730.7004871092,66230.16034465919,7161.318658315642,73.95412816564621
660.0,2186.0,0,13.0,0,49317.03875112501,374106.5157851677,65308.616168299646,22271.646545777938,74.83317306121447
665.0,817.0,0,8.0,0,21824.4207924995,175418.54750579482,29715.496032182167,14820.143182702985,70.06569191011828
670.0,683.0,0,5.0,0,15622.120130549825,122408.19737159005,20373.06954831,7982.103057658465,68.22313111936309
675.0,365.0,0,25.0,0,7911.672893941691,62561.99612437017,10810.456068116715,6041.827435965907,70.43350628096923
680.0,953.0,0,10.0,0,25207.339735790447,214915.1280892304,34083.83460033765,13210.901289877478,71.20600866846412
685.0,706.0,0,52.0,0,12493.436594088917,97678.83342029879,17366.03104721885,12539.052908040325,74.87448307129436
690.0,1265.0,0,16.0,0,15995.014295252084,118307.13838375482,18570.562873553972,4818.924043158548,73.50230164163307
695.0,528.0,0,7.0,0,10138.724321225003,81386.85067630088,12482.739505015159,2256.511878083059,68.18678413654355
700.0,2084.0,0,50.0,0,30388.663126646825,233624.8461832629,39281.30501123005,14783.792445478623,78.54431136798813
705.0,157.0,0,5.0,0,3452.6818634088804,30182.2968813766,4809.566927310339,3082.5114822193596,63.094361023278545
710.0,964.0,0,15.0,0,18380.242106809783,158207.33857821158,25096.737739034354,15427.06812645005,72.37021452140579
715.0,804.0,0,12.0,0,19916.42972712842,181273.9148989342,29789.200135000432,27820.306616243543,71.11279604334959
720.0,32185.0,0,6.0,0,384222.56368952047,2901961.8418974685,545262.1017948899,301344.0572534391,80.83773044716594
725.0,378.0,0,7.0,0,5889.936983684378,48938.92340452332,7957.052719888683,2860.270191695307,67.019701342828
730.0,34981.0,0,29.0,0,439754.95755987987,3493424.6519405814,637821.7831218434,443464.7477029016,85.20359214498646
